time,opAmp.outp.v,resistor.i,resistor1.i,opAmp.x,opAmp.v_source,opAmp.v_in,opAmp.q_fr3,opAmp.q_fr1,opAmp.q_fr2,opAmp.q_fp1
0,0,-0,0,0,0,-0.001,0,0,0,0
7.852946441e-09,-5.266160914e-07,7.31496101e-08,-6.94356364e-09,-9.798439039e-09,-9.798439039e-09,-0.0008606021111,-0.0002043636128,-8.383797802e-05,-0.0002405242509,-4.843211529e-06
1.13298181e-08,-3.663253565e-07,9.447665201e-08,-4.507601785e-09,-3.100266286e-08,-3.100266286e-08,-0.0009094816389,-0.0002736107906,-0.0001179313087,-0.0003020778379,-1.008237877e-05
2.113411612e-08,6.252463035e-07,1.372799315e-07,1.100251242e-08,-1.952527804e-07,-1.952527804e-07,-0.001220675495,-0.000442039782,-0.0002262936463,-0.0004713627168,-3.202709172e-05
2.880971386e-08,1.575901452e-06,1.620909824e-07,2.748577562e-08,-4.737124592e-07,-4.737124592e-07,-0.001551291414,-0.0005988276924,-0.0003328313493,-0.0006346097928,-5.694110883e-05
4.101908664e-08,2.898733279e-06,1.960236976e-07,5.648152633e-08,-1.315640696e-06,-1.315640696e-06,-0.00213252926,-0.0009092283711,-0.0005480696253,-0.0009538672341,-0.0001142148854
5.527630561e-08,3.648958345e-06,2.329457929e-07,9.173141418e-08,-3.203530531e-06,-3.203530531e-06,-0.002838277242,-0.001342621396,-0.0008674004284,-0.001394273955,-0.0002143706035
7.483232522e-08,2.364116466e-06,2.826400565e-07,1.406729753e-07,-8.168625808e-06,-8.168625808e-06,-0.003815823623,-0.002019739479,-0.001407607923,-0.002077896633,-0.0004196396078
9.988544156e-08,-5.1528842e-06,3.462185273e-07,2.037075991e-07,-2.046960077e-05,-2.046960077e-05,-0.005068999098,-0.002983817886,-0.002236162554,-0.003047806347,-0.0008113159121
1.358488073e-07,-3.309513142e-05,4.379508296e-07,2.948172175e-07,-5.545463622e-05,-5.545463622e-05,-0.006863249218,-0.004497417078,-0.00361707993,-0.004566947308,-0.001652201071
1.83409573e-07,-0.0001157138855,5.606534105e-07,4.168966367e-07,-0.0001478489874,-0.0001478489874,-0.009222218848,-0.006643555523,-0.00566146439,-0.006717179856,-0.003309851228
2.406537183e-07,-0.000313751749,7.114178929e-07,5.672214393e-07,-0.0003586464951,-0.0003586464951,-0.01203067704,-0.009335409311,-0.008295462371,-0.009411076419,-0.006174436765
3.112067788e-07,-0.0007614359823,9.037073034e-07,7.594393159e-07,-0.0008241047008,-0.0008241047008,-0.01542735033,-0.01269997961,-0.01163972416,-0.01277579221,-0.01104668281
3.971863446e-07,-0.001707805265,1.150944841e-06,1.007273531e-06,-0.001796159319,-0.001796159319,-0.01943766536,-0.016756051,-0.01570886826,-0.01683014438,-0.01898832006
5.041738046e-07,-0.003668782493,1.484046623e-06,1.342103099e-06,-0.003796956094,-0.003796956094,-0.02417327949,-0.02161740165,-0.0206159432,-0.02168770303,-0.03186949697
6.399896076e-07,-0.007701689587,1.95741352e-06,1.819075197e-06,-0.007895882899,-0.007895882899,-0.02967981435,-0.02734990988,-0.02643378188,-0.02741369503,-0.05275226585
