time,friction.v_rel_ref,friction.v_rel_sim,friction.v_rel_relerr,outerContactA.v_rel_ref,outerContactA.v_rel_sim,outerContactA.v_rel_relerr
0,0,0,0,0,0,0
1.75410653e-07,9.654366233e-13,-2.765943708e-10,5.22766e-08,-0.001140169215,-0.001140165157,1.46655e-07
1.75410653e-07,9.654366233e-13,-2.765943708e-10,5.22766e-08,-0.001140169215,-0.001140165157,1.46655e-07
0.0007733504761,-0.005309449831,-0.01390098836,1.61816,0.02758282396,0.0469853942,0.70128
0.0007733504761,-0.005309449831,-0.01390098836,1.61816,0.02758282396,0.0469853942,0.70128
0.000775068587,-0.005203562673,-0.01384665226,1.62787,0.02766738284,0.04716474595,0.704706
0.000775068587,-0.005203562673,-0.01384665226,1.62787,0.02766738284,0.04716474595,0.704706
0.05,9.423204218e-06,1.838112321e-05,0.00168717,4.711602694e-06,1.820291537e-05,0.000487625
0.1,9.424627532e-06,1.866793596e-05,0.00174092,4.712313778e-06,1.84866939e-05,0.000497856
0.15,9.424495798e-06,1.866753721e-05,0.00174087,4.712247902e-06,1.848629896e-05,0.000497844
0.2,9.424299608e-06,1.866691096e-05,0.00174079,4.712149804e-06,1.848567878e-05,0.000497826
0.25,9.424008694e-06,1.866610095e-05,0.00174069,4.712004347e-06,1.848487663e-05,0.000497802
0.3,9.423717781e-06,1.86651067e-05,0.00174055,4.71185889e-06,1.848389202e-05,0.000497771
0.35,9.423402519e-06,1.866392848e-05,0.00174039,4.711701259e-06,1.848272524e-05,0.000497735
0.4,9.422847479e-06,1.866256591e-05,0.00174024,4.711423739e-06,1.848137589e-05,0.000497696
0.45,9.422292438e-06,1.86610192e-05,0.00174005,4.711146219e-06,1.847984418e-05,0.000497651
0.5,9.421737398e-06,1.86592883e-05,0.00173983,4.710868699e-06,1.847813007e-05,0.000497599
0.55,9.421182358e-06,1.865737322e-05,0.00173958,4.710591179e-06,1.847623358e-05,0.00049754
0.6,9.420627318e-06,1.865527396e-05,0.00173929,4.710313659e-06,1.847415469e-05,0.000497475
0.65,9.420072277e-06,1.865299054e-05,0.00173896,4.710036139e-06,1.847189343e-05,0.000497404
0.7,9.419103137e-06,1.865052298e-05,0.00173868,4.709551569e-06,1.846944982e-05,0.000497333
0.75,9.417863343e-06,1.864787129e-05,0.00173841,4.708931672e-06,1.846682387e-05,0.00049726
0.8,9.416623548e-06,1.864503553e-05,0.00173811,4.708311774e-06,1.846401563e-05,0.000497181
0.85,9.415383754e-06,1.864201572e-05,0.00173778,4.707691877e-06,1.846102513e-05,0.000497096
0.9,9.41414396e-06,1.863881191e-05,0.00173741,4.70707198e-06,1.845785241e-05,0.000497003
0.95,9.412904165e-06,1.863542415e-05,0.001737,4.706452083e-06,1.845449754e-05,0.000496904
1,9.411593605e-06,1.863185249e-05,0.00173658,4.705796802e-06,1.845096055e-05,0.0004968
