time,pump.flowPort_a.h,pipe.flowPort_a.h,pipe.flowPort_b.h,pump.h,heatCapacitor.T,pipe.T
0,293.15,293.15,293.15,293.15,293.15,293.15
1e-06,293.15,293.15,293.15,293.15,293.1501,293.15
0.0001118754017,293.15,293.15,293.1500063,293.15,293.1611813,293.1500063
0.001220629419,293.15,293.15,293.1507359,293.15,293.271324,293.1507359
0.01230816959,293.15,293.15,293.2171407,293.15,294.3108376,293.2171407
0.03649887755,293.15,293.15,293.6223773,293.15,296.2649434,293.6223773
0.06885141493,293.15,293.15,294.4309586,293.15,298.4125185,294.4309586
0.1116797161,293.15,293.15,295.5993831,293.15,300.7276198,295.5993831
0.1684628376,293.15,293.15,297.0184982,293.15,303.1826117,297.0184982
0.2455592285,293.15,293.15,298.5698342,293.15,305.7329708,298.5698342
0.3555257104,293.15,293.15,300.1390632,293.15,308.2778574,300.1390632
0.5260059507,293.15,293.15,301.5799221,293.15,310.6095577,301.5799221
0.7351674065,293.15,293.15,302.4437591,293.15,312.0072782,302.4437591
1,293.15,293.15,302.8931767,293.15,312.7344511,302.8931767
