time,convection.solid.T,pump.flowPort_a.h,pipe.flowPort_a.h,ambient2.flowPort.h,pump.h,pipe.T,heatCapacitor.T
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15
1e-06,293.1501,293.15,293.15,293.15,293.15,293.15,293.1501
0.0001118754017,293.1611813,293.15,293.15,293.1500063,293.15,293.1500063,293.1611813
0.001220629419,293.271324,293.15,293.15,293.1507359,293.15,293.1507359,293.271324
0.01230816959,294.3108376,293.15,293.15,293.2171407,293.15,293.2171407,294.3108376
0.03649887755,296.2649434,293.15,293.15,293.6223773,293.15,293.6223773,296.2649434
0.06885141493,298.4125185,293.15,293.15,294.4309586,293.15,294.4309586,298.4125185
0.1116797161,300.7276198,293.15,293.15,295.5993831,293.15,295.5993831,300.7276198
0.1684628376,303.1826117,293.15,293.15,297.0184982,293.15,297.0184982,303.1826117
0.2455592285,305.7329708,293.15,293.15,298.5698342,293.15,298.5698342,305.7329708
0.3555257104,308.2778574,293.15,293.15,300.1390632,293.15,300.1390632,308.2778574
0.5260059507,310.6095577,293.15,293.15,301.5799221,293.15,301.5799221,310.6095577
0.7351674065,312.0072782,293.15,293.15,302.4437591,293.15,302.4437591,312.0072782
1,312.7344511,293.15,293.15,302.8931767,293.15,302.8931767,312.7344511
